|Index|Distance|Velocity|
|:-:|:-:|:-:|
|0|-6.27744e+066|-6.27744e+066|
|1|2.00594e-009|2.00594e-006|
|2|6.01782e-008|2.80832e-005|
|3|3.59063e-007|9.82911e-005|
|4|1.0792e-006|0.000188558|
|5|2.1604e-006|0.000226671|
|6|3.06107e-006|9.22733e-005|
|7|2.51746e-006|-0.000383135|
|8|-1.69703e-006|-0.00141619|
|9|-1.30125e-005|-0.00327169|
|10|-3.63035e-005|-0.00626255|
|11|-7.81294e-005|-0.0107498|
|12|-0.000146975|-0.0171428|
|13|-0.000253493|-0.0258987|
|14|-0.00041074|-0.0375231|
|15|-0.000634425|-0.0525697|
|16|-0.000943141|-0.0716402|
|17|-0.00135861|-0.0953845|
|18|-0.00190594|-0.124501|
|19|-0.00261382|-0.159735|
|20|-0.00351481|-0.201882|
|21|-0.00464556|-0.251784|
|22|-0.00604705|-0.310331|
|23|-0.00776484|-0.378463|
|24|-0.00984929|-0.457166|
|25|-0.0123558|-0.547475|
|26|-0.0153452|-0.650474|
|27|-0.0188836|-0.767294|
|28|-0.0230431|-0.899115|
|29|-0.0279018|-1.04716|
|30|-0.0335439|-1.21272|
|31|-0.0400603|-1.3971|
|32|-0.0475486|-1.60168|
|33|-0.0561131|-1.82788|
|34|-0.0658658|-2.07716|
|35|-0.0769258|-2.35106|
|36|-0.08942|-2.65112|
|37|-0.103483|-2.97896|
|38|-0.119259|-3.33625|
|39|-0.136898|-3.72469|
|40|-0.15656|-4.14604|
|41|-0.178416|-4.60211|
|42|-0.202642|-5.09474|
|43|-0.229428|-5.62584|
|44|-0.258968|-6.19737|
|45|-0.291472|-6.81131|
|46|-0.327155|-7.46971|
|47|-0.366247|-8.17467|
|48|-0.408983|-8.92833|
|49|-0.455615|-9.73289|
|50|-0.506401|-10.5906|
|51|-0.561613|-11.5037|
|52|-0.621534|-12.4745|
|53|-0.686458|-13.5055|
|54|-0.756693|-14.599|
|55|-0.832557|-15.7576|
|56|-0.914382|-16.9838|
|57|-1.00251|-18.2801|
|58|-1.0973|-19.6492|
|59|-1.19913|-21.0937|
|60|1.56265|26.0254|
|61|1.69719|27.8032|
|62|1.84083|29.6706|
|63|1.99405|31.6303|
|64|2.15729|33.6854|
|65|2.33106|35.8388|
|66|2.51585|38.0936|
|67|2.71217|40.4529|
|68|2.92056|42.9198|
|69|3.14156|45.4976|
|70|3.37572|48.1894|
|71|3.62365|50.9986|
|72|3.88591|53.9284|
|73|4.16314|56.9824|
|74|4.45595|60.1639|
|75|4.76499|63.4764|
|76|5.09094|66.9234|
|77|5.43446|70.5085|
|78|5.79626|74.2353|
|79|6.17705|78.1076|
|80|6.57758|82.129|
|81|6.9986|86.3033|
|82|7.44088|90.6343|
|83|7.90521|95.1259|
|84|8.39241|99.7821|
|85|8.90331|104.607|
|86|9.43876|109.604|
|87|9.99964|114.777|
|88|10.5868|120.132|
|89|11.2013|125.671|
|90|11.7406|128.117|
|91|12.3948|133.583|
|92|13.0767|139.2|
|93|13.7871|144.97|
|94|14.5267|150.894|
|95|15.2963|156.974|
|96|16.0967|163.21|
|97|16.9286|169.604|
|98|17.793|176.158|
|99|18.6905|182.871|
|100|19.622|189.746|
|101|20.5882|196.784|
|102|21.5901|203.984|
|103|22.6283|211.349|
|104|23.7038|218.879|
|105|24.8174|226.574|
|106|25.9699|234.436|
|107|27.162|242.466|
|108|28.3948|250.664|
|109|29.669|259.03|
|110|30.9854|267.566|
