|Index|posX|velX|posY|velY|timeX|timeY|IDX|IDY
|:-:|:-:|:-:|:-:|:-:|:-:|:-:|:-:|:-:|
|0|0|0|0|0|0|0|0|0|
|1|2.67057e-017|6.67643e-013|3.17895e-017|7.94738e-013|0.0002|0.0002|1|1|
|2|8.54583e-016|1.06823e-011|1.01726e-015|1.27158e-011|0.0002|0.0002|2|2|
|3|6.48949e-015|5.40791e-011|7.72485e-015|6.43737e-011|0.0002|0.0002|3|3|
|4|2.73466e-014|1.70917e-010|3.25524e-014|2.03453e-010|0.0002|0.0002|4|4|
|5|8.34553e-014|4.17277e-010|9.93422e-014|4.96711e-010|0.0002|0.0002|5|5|
|6|2.07664e-013|8.65265e-010|2.47195e-013|1.02998e-009|0.0002|0.0002|6|6|
|7|4.48843e-013|1.60301e-009|5.34286e-013|1.90816e-009|0.0002|0.0002|7|7|
|8|8.75093e-013|2.73466e-009|1.04168e-012|3.25524e-009|0.0002|0.0002|8|8|
|9|1.57695e-012|4.3804e-009|1.87714e-012|5.21427e-009|0.0002|0.0002|9|9|
|10|2.67057e-012|6.67643e-009|3.17895e-012|7.94738e-009|0.0002|0.0002|10|10|
|11|4.30098e-012|9.77496e-009|5.11973e-012|1.16358e-008|0.0002|0.0002|11|11|
|12|6.64524e-012|1.38442e-008|7.91024e-012|1.64797e-008|0.0002|0.0002|12|12|
|13|9.91564e-012|1.90685e-008|1.18032e-011|2.26985e-008|0.0002|0.0002|13|13|
|14|1.4363e-011|2.56482e-008|1.70972e-011|3.05306e-008|0.0002|0.0002|14|14|
|15|2.02796e-011|3.37994e-008|2.41402e-011|4.02336e-008|0.0002|0.0002|15|15|
|16|2.8003e-011|4.37546e-008|3.33337e-011|5.20839e-008|0.0002|0.0002|16|16|
|17|3.79183e-011|5.57622e-008|4.51365e-011|6.63773e-008|0.0002|0.0002|17|17|
|18|5.04623e-011|7.00865e-008|6.00684e-011|8.34284e-008|0.0002|0.0002|18|18|
|19|6.6126e-011|8.70079e-008|7.87139e-011|1.03571e-007|0.0002|0.0002|19|19|
|20|8.54583e-011|1.06823e-007|1.01726e-010|1.27158e-007|0.0002|0.0002|20|20|
|21|1.09069e-010|1.29844e-007|1.29832e-010|1.54561e-007|0.0002|0.0002|21|21|
|22|1.37631e-010|1.56399e-007|1.63831e-010|1.86172e-007|0.0002|0.0002|22|22|
|23|1.71887e-010|1.86834e-007|2.04608e-010|2.224e-007|0.0002|0.0002|23|23|
|24|2.12648e-010|2.21508e-007|2.53128e-010|2.63675e-007|0.0002|0.0002|24|24|
|25|2.60798e-010|2.60798e-007|3.10444e-010|3.10444e-007|0.0002|0.0002|25|25|
|26|3.17301e-010|3.05097e-007|3.77703e-010|3.63176e-007|0.0002|0.0002|26|26|
|27|3.83198e-010|3.54813e-007|4.56145e-010|4.22356e-007|0.0002|0.0002|27|27|
|28|4.59615e-010|4.10371e-007|5.47109e-010|4.8849e-007|0.0002|0.0002|28|28|
|29|5.47765e-010|4.72211e-007|6.52039e-010|5.62103e-007|0.0002|0.0002|29|29|
|30|6.48949e-010|5.40791e-007|7.72485e-010|6.43737e-007|0.0002|0.0002|30|30|
|31|7.64562e-010|6.16582e-007|9.10106e-010|7.33957e-007|0.0002|0.0002|31|31|
|32|8.96095e-010|7.00074e-007|1.06668e-009|8.33343e-007|0.0002|0.0002|32|32|
|33|1.04514e-009|7.91772e-007|1.24409e-009|9.42496e-007|0.0002|0.0002|33|33|
|34|1.21339e-009|8.92195e-007|1.44437e-009|1.06204e-006|0.0002|0.0002|34|34|
|35|1.40263e-009|1.00188e-006|1.66964e-009|1.1926e-006|0.0002|0.0002|35|35|
|36|1.61479e-009|1.12138e-006|1.92219e-009|1.33485e-006|0.0002|0.0002|36|36|
|37|1.85188e-009|1.25127e-006|2.20441e-009|1.48947e-006|0.0002|0.0002|37|37|
|38|2.11603e-009|1.39213e-006|2.51885e-009|1.65714e-006|0.0002|0.0002|38|38|
|39|2.4095e-009|1.54455e-006|2.86818e-009|1.83858e-006|0.0002|0.0002|39|39|
|40|2.73466e-009|1.70917e-006|3.25524e-009|2.03453e-006|0.0002|0.0002|40|40|
|41|3.09402e-009|1.8866e-006|3.68301e-009|2.24574e-006|0.0002|0.0002|41|41|
|42|3.4902e-009|2.0775e-006|4.15461e-009|2.47298e-006|0.0002|0.0002|42|42|
|43|3.92596e-009|2.28254e-006|4.67332e-009|2.71705e-006|0.0002|0.0002|43|43|
